Alpha,SO_Mild_Alpha,SO_Mandatory_Alpha,Beta,SO_Mild_Beta,SO_Mandatory_Beta
0.5222222222222221,51539.43284841802,62255.37578634776,0.32222222222222224,50644.456910304376,61446.09727669102
0.5222222222222221,52073.600626391366,62316.70689442662,0.32222222222222224,50854.31529302267,61612.06909577674
0.5222222222222221,51396.513700062605,61739.734532790346,0.32222222222222224,51703.016033097345,61774.99492966628
0.5222222222222221,50520.205965554465,62476.244727875244,0.32222222222222224,49855.19652433022,61899.45027136764
0.5222222222222221,50564.46612835773,62487.59140944282,0.32222222222222224,51448.17215540784,62881.80089239476
0.5222222222222221,51964.37334721686,62639.55100978853,0.32222222222222224,50929.69783430143,61808.21663264839
0.5222222222222221,51396.3344192288,62301.41522157138,0.32222222222222224,51037.21846364418,62274.19473643422
0.5222222222222221,50919.13113150525,62109.38609716009,0.32222222222222224,50480.00244084138,61944.44148592442
0.5222222222222221,50828.39677424706,61508.96455784976,0.32222222222222224,51019.67716260184,62089.568294613026
0.5222222222222221,51128.82478240191,62720.61119744431,0.32222222222222224,50972.172952095076,61598.775663918736
0.5222222222222221,50466.71185407557,62865.914883068326,0.32222222222222224,51213.815773662944,62044.38028364256
0.5222222222222221,51719.7032275419,62365.16607867261,0.32222222222222224,51020.94216939668,61525.402593722
0.5222222222222221,51313.633785248305,62073.54346691156,0.32222222222222224,51364.538355689605,61592.699021907785
0.5222222222222221,51132.11941277875,61934.87392985103,0.32222222222222224,51852.66339479314,61477.03938174702
0.5222222222222221,51126.9301499007,62236.57974723542,0.32222222222222224,51425.55241620453,61112.57502939429
0.5222222222222221,52051.73311128681,62449.47468885601,0.32222222222222224,49915.29108341343,61789.28311949595
0.5222222222222221,51006.40957686407,62117.21332328149,0.32222222222222224,49914.59415804075,62431.52824195704
0.5222222222222221,50754.48197695265,61892.45210460733,0.32222222222222224,51033.54271488877,62767.18198069224
0.5222222222222221,51566.45895698257,61919.68311625134,0.32222222222222224,50960.84774543181,62188.24179049997
0.5222222222222221,50802.34313775381,61870.41036865161,0.32222222222222224,50910.34717106991,61629.70139467851
0.5222222222222221,50746.52158502278,62730.25920433842,0.32222222222222224,50841.057269007586,61464.690404045774
